name,star_rating,review_count,detail_url,location,categories
Don Juan Taqueria,4.7,151,https://www.yelp.com/adredir?ad_business_id=_tvR2q9UJmFAxf7FE83eaw&amp;campaign_id=213853602&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdon-juan-taqueria-indianapolis&amp;request_id=aa1fad2467e8c254&amp;signature=4c3d7d7b70597bf26c108bbc335054c3deae3581564645ef9daafebfa2597015&amp;slot=2,,Latin American;New Mexican Cuisine;Tacos
The Garage Food Hall,4.6,428,https://www.yelp.com/biz/the-garage-food-hall-indianapolis-2?osq=Restaurants,Chatham Arch,Food Court
Strange Bird,4.5,355,https://www.yelp.com/biz/strange-bird-indianapolis?osq=Restaurants,,Tiki Bars;Cocktail Bars;Ramen
Daisy Bar,5.0,5,https://www.yelp.com/biz/daisy-bar-indianapolis?osq=Restaurants,,Coffee &amp; Tea;Breakfast &amp; Brunch;Cocktail Bars
The Social View,4.2,56,https://www.yelp.com/biz/the-social-view-indianapolis?osq=Restaurants,Mile Square,Burgers;Cocktail Bars;Sandwiches
Root &amp; Bone Indianapolis,4.4,735,https://www.yelp.com/biz/root-and-bone-indianapolis-indianapolis?osq=Restaurants,Meridian Kessler,American
Modita,4.4,425,https://www.yelp.com/biz/modita-indianapolis-2?osq=Restaurants,Chatham Arch,Sushi Bars;Noodles;Pan Asian
Yard House,4.0,1150,https://www.yelp.com/biz/yard-house-indianapolis-3?osq=Restaurants,Mile Square,New American;Vegetarian;Bars
Shin Dig,4.4,111,https://www.yelp.com/biz/shin-dig-indianapolis?osq=Restaurants,,Chicken Wings;Pizza
Union 50,4.4,1012,https://www.yelp.com/biz/union-50-indianapolis-2?osq=Restaurants,Renaissance Place,Gastropubs;New American;Music Venues
Tinker Street,4.6,999,https://www.yelp.com/biz/tinker-street-indianapolis?osq=Restaurants,Old Northside,Wine Bars;New American
Zaxbys,3.1,77,https://www.yelp.com/adredir?ad_business_id=JpeQ0CqPAKejAun64bjrfw&amp;campaign_id=213232563&amp;click_origin=search_results&amp;placement=below_search&amp;placement_slot=1&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzaxbys-greenwood-7&amp;request_id=aa1fad2467e8c254&amp;signature=2baf05049d5fd4ad3ca206200e83cb1d7b9d8b62d20012c34bbd6e327004c85e&amp;slot=0,,Southern;Chicken Shop;Tacos
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&campaign_id=213171001&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&request_id=aa1fad2467e8c254&signature=7d6a4bc8b9cf61de45342e434cd46b1c4efa2badb4b4fd4a13ad61f4809330db&slot=0,,Golf;Venues & Event Spaces;Bars
Bibibop,4.0,3,https://www.yelp.com/adredir?ad_business_id=mdcmXKDEb1JpJ4Yv8W80AQ&campaign_id=214240883&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbibibop-zionsville&request_id=aa1fad2467e8c254&signature=f142f9df415b8ebe843b0c30bd4cdb737897af388283580366262f09d57118a9&slot=1,,Fast Food;Korean
Don Juan Taqueria,4.7,151,https://www.yelp.com/adredir?ad_business_id=_tvR2q9UJmFAxf7FE83eaw&campaign_id=213853602&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdon-juan-taqueria-indianapolis&request_id=aa1fad2467e8c254&signature=4c3d7d7b70597bf26c108bbc335054c3deae3581564645ef9daafebfa2597015&slot=2,,Latin American;New Mexican Cuisine;Tacos
